CNPE;Taux_redevance;N_sim;NPV_mean_M€;NPV_median_M€;NPV_std_M€;NPV_SE_M€;NPV_2.5_percentile_M€;NPV_97.5_percentile_M€;Probability_NPV_positive;ROI_mean;ROI_std;CAPEX;OPEX;REDEVANCE;LOSS_PROD
Nogent;8560;10000;54.562332773095214;39.24362631872067;96.30684080788079;0.9630684080788079;-94.53414128342288;295.51577112703;0.7015;0.810720084898544;1.322405149459966;100.03313813329063;1.1798288413868039;6.327552;0.4505819816415103
Nogent;9060;10000;58.87939454445405;39.839007631560506;100.80464777261295;1.0080464777261295;-93.3108871918821;312.057963826144;0.7061;0.8750049819850999;1.4191670665188307;100.54698852808727;1.1907048905785171;6.697152;0.4500907540083307
Nogent;9560;10000;63.561168417160324;47.16099395490885;100.20490734340534;1.0020490734340533;-91.52212964737704;314.1642764760636;0.7311;0.9267577868220127;1.414151832684368;100.07075317300394;1.1765094100672544;7.066752;0.45312983350570535
Nogent;10060;10000;69.29217340011427;50.138742201238934;102.56557477065614;1.0256557477065613;-85.66972020865046;325.479205715273;0.7504;0.9814474255939478;1.4291357620419711;100.20901895256482;1.1792450025584467;7.436352;0.4488009259270483
Nogent;10560;10000;72.86833268929442;53.89078215615719;103.20328526300796;1.0320328526300795;-82.96933976096253;326.7114084732247;0.7628;1.028316585113648;1.457955371403433;100.39175206315896;1.1893459370568609;7.805952;0.44976832654246107
Nogent;11060;10000;77.0582792186916;55.850322642996716;107.18363157363763;1.0718363157363762;-82.12967113998965;347.58143242031997;0.7694;1.0831542028427457;1.5293412296532907;100.83440538278519;1.1832934472868317;8.175552;0.45005377036939015
Nogent;11560;10000;81.97107357003645;60.451893700496846;108.77443238581925;1.0877443238581928;-79.98866582032281;352.64597737916506;0.7844;1.1331787625885912;1.5435490247538108;100.76379308368817;1.1859066962747085;8.545152;0.4515447617377356
Nogent;12060;10000;85.18172951238756;63.60832960909675;107.21836800266652;1.072183680026665;-75.55519694546129;350.1537534701937;0.7996;1.1585602193508753;1.5144645103262542;100.51719332030507;1.1795681226076016;8.914752;0.4491150405036181
Nogent;12560;10000;91.90489422344955;69.84423113819284;111.23298022200102;1.11232980222001;-71.9095682562342;365.7883891313396;0.8119;1.2498439998457684;1.6004492124089233;100.40047594155175;1.177782727722932;9.284352;0.4481420758219062
Nogent;13060;10000;97.00456435265598;73.2619765379149;113.79718653257034;1.1379718653257034;-71.00033676620123;379.3489802622958;0.8238;1.3050027006778968;1.6303253198989693;100.39443734848612;1.182899743594232;9.653952;0.4484850587552175
Nogent;13560;10000;101.39463839603793;77.30478309188473;115.58372914932104;1.1558372914932105;-68.03855455783591;389.50637143684486;0.8318;1.3582223699815916;1.6788823473891736;101.03919445536091;1.1806903196181049;10.023552;0.4492958294417231
Nogent;14060;10000;107.34659196307986;80.85009181971444;119.4958671562764;1.194958671562764;-65.34564572417644;408.7094852337068;0.8436;1.4366092373472008;1.7537802892148975;100.3866495498588;1.1842996986617436;10.393152;0.45006686035582616
Nogent;14560;10000;111.20077531463566;83.71551328455038;120.38649913680791;1.203864991368079;-62.43343187464293;412.7732042603614;0.8553;1.4647520407875805;1.7339912016761332;100.75341906394206;1.1876596187075235;10.762752;0.44836694262505444
Nogent;15060;10000;118.42169286252752;91.1171374444202;121.56463784759751;1.215646378475975;-54.52346553542527;421.1615969022482;0.869;1.5634314842565096;1.7978918087325004;99.75990816042696;1.1820178410737812;11.132352;0.4505614671368851
Nogent;15560;10000;121.29240050889726;92.96423536284978;122.87617356382282;1.2287617356382283;-56.89552217754062;427.53438594088465;0.8745;1.58328835095242;1.7814948793214112;100.3146095360415;1.1762294280121668;11.501952;0.448194261741055
Nogent;16060;10000;128.72430568800166;98.66065985703175;128.2089989590645;1.282089989590645;-53.37560570277703;447.3431924113365;0.8797;1.6860579417754302;1.9069165201561231;100.33628316552337;1.1854269117799305;11.871552;0.4507256287019547
Nogent;16560;10000;130.89012233055308;100.22233173374256;128.14037321659944;1.2814037321659943;-51.043335893888255;453.89701471435865;0.8887;1.702301096966902;1.8950184306880828;100.15482090777336;1.1904233811014189;12.241152;0.4499718551699399
Nogent;17060;10000;137.68677098723725;106.86298913335109;129.71017068776146;1.2971017068776145;-45.538289010371116;456.2275419800761;0.9026;1.789569287386191;1.9480577355835595;99.98100103835196;1.1855882374542672;12.610752;0.4474759204678058
